Images,Labels
0011_0100.JPG,0
0009_0053.JPG,0
0009_0011.JPG,0
0009_0252.JPG,0
0011_0096.JPG,0
0010_0039.JPG,0
0014_0082.JPG,1
0012_0255.JPG,1
0015_0051.JPG,1
0017_0153.JPG,1
0015_0025.JPG,1
0014_0085.JPG,1
0015_0074.JPG,1
0021_0033.JPG,1
0018_0030.JPG,1
0007_0163.JPG,0
0010_0093.JPG,0
0002_0186.JPG,0
0019_0239.JPG,1
0011_0002.JPG,0
0014_0245.JPG,1
0004_0128.JPG,0
0014_0116.JPG,1
0017_0319.JPG,1
0014_0215.JPG,1
0012_0219.JPG,1
0005_0277.JPG,1
0005_0007.JPG,0
0004_0043.JPG,0
0014_0190.JPG,1
0010_0147.JPG,0
0019_0195.JPG,1
0012_0121.JPG,1
0013_0097.JPG,1
0007_0240.JPG,0
0017_0213.JPG,1
0019_0255.JPG,1
0007_0124.JPG,0
0019_0123.JPG,1
0022_0077.JPG,1
0019_0024.JPG,1
0017_0078.JPG,1
0007_0167.JPG,0
0007_0202.JPG,0
0007_0152.JPG,0
0017_0288.JPG,1
0007_0071.JPG,0
0018_0090.JPG,1
0022_0071.JPG,1
0010_0062.JPG,0
0002_0091.JPG,0
0007_0003.JPG,0
0015_0049.JPG,1
0002_0157.JPG,0
0014_0065.JPG,1
0013_0055.JPG,1
0004_0232.JPG,0
0020_0068.JPG,1
0017_0281.JPG,1
0019_0107.JPG,1
0007_0049.JPG,0
0019_0149.JPG,1
0009_0082.JPG,0
0017_0016.JPG,1
0012_0184.JPG,1
0013_0010.JPG,1
0010_0054.JPG,0
0014_0211.JPG,1
0004_0132.JPG,0
0009_0214.JPG,0
0017_0168.JPG,1
0001_0102.JPG,0
0004_0172.JPG,0
0002_0140.JPG,0
0022_0005.JPG,1
0011_0033.JPG,0
0009_0003.JPG,0
0020_0052.JPG,1
0002_0075.JPG,0
0019_0207.JPG,1
0001_0143.JPG,0
0012_0111.JPG,1
0003_0137.JPG,0
0022_0119.JPG,1
0017_0207.JPG,1
0020_0120.JPG,1
0012_0018.JPG,1
0004_0033.JPG,0
0006_0045.JPG,0
0013_0217.JPG,1
0019_0132.JPG,1
0017_0282.JPG,1
0005_0231.JPG,0
0002_0179.JPG,0
0020_0194.JPG,1
0017_0111.JPG,1
0017_0272.JPG,1
0005_0199.JPG,0
0017_0093.JPG,1
0005_0070.JPG,0
0020_0261.JPG,1
0007_0236.JPG,0
0005_0006.JPG,0
0022_0098.JPG,1
0012_0056.JPG,1
0022_0040.JPG,1
0005_0271.JPG,1
0013_0185.JPG,1
0014_0142.JPG,1
0014_0045.JPG,1
0006_0070.JPG,0
0004_0163.JPG,0
0022_0002.JPG,0
0005_0045.JPG,0
0009_0243.JPG,0
0019_0003.JPG,1
0015_0066.JPG,1
0019_0258.JPG,1
0006_0008.JPG,0
0011_0030.JPG,0
0011_0088.JPG,0
0020_0014.JPG,0
0020_0174.JPG,1
0006_0129.JPG,1
0011_0048.JPG,0
0004_0078.JPG,0
0004_0151.JPG,0
0010_0102.JPG,0
0014_0094.JPG,1
0011_0013.JPG,0
0015_0060.JPG,1
0005_0102.JPG,0
0019_0098.JPG,1
